Date,Alphabet Inc- A shares (GOOGL),Amazon.com Inc (AMZN),Facebook Inc (FB),Microsoft Corp (MSFT),TESLA Inc.,Morgan Stanley (MS),Ferrari N.V. (RACE.MI),Assicurazioni Generali S.p.A. (G.MI),Juventus Football Club S.p.A. (JUVE.MI),Piaggio & C. SpA (PIA.MI),Toscana Aeroporti S.p.A. (TYA.MI),Valsoia S.p.A. (VLS.MI),Bayer Aktiengesellschaft (BAYN.DE),Ryanair Holdings plc (RY4C.IR),Crdit Agricole S.A. (ACA.PA),"Cisco Systems, Inc. (CSCO)"
29-Jan-16,696.12514,536.71172,102.597,46.08497,34.96398,21.0343,34.977090000000004,10.0598,0.233,1.5797,11.889,18.3333,85.87871,13.685,7.05607,18.6637
1-Feb-16,711.96788,530.95767,106.3098,46.23659,36.38308,21.1105,34.88153,9.88469,0.23852,1.61,11.9238,18.0888,85.17314,14.495,6.98625,18.6095
2-Feb-16,716.60999,506.64017,105.173,44.49809000000001,33.54599,19.9853,31.53673,9.51264,0.2388,1.5019999999999998,12.0543,17.8968,83.34586,14.475,6.63943,17.9758
3-Feb-16,686.11725,486.23701,103.1767,43.69355,31.76696,19.7934,31.488940000000003,9.2792,0.23162,1.4316,12.1849,17.1896,81.84257,14.07,6.4107699999999985,18.1472
4-Feb-16,658.2172099999998,483.50829,99.62113,42.89587,31.61657,20.0449,32.52105,9.17708,0.23226,1.4455,12.1849,17.2507,81.78442,13.7,6.606439999999999,18.2111
5-Feb-16,628.3594,448.33196,92.91997,40.97554,29.03582,19.3261,32.49239,8.92905,0.22886,1.4512,11.9673,17.4603,80.06524,13.43,6.63253,17.535999999999998
8-Feb-16,631.81467,437.95267,89.5017,40.56174,26.55711,18.0814,30.88688,8.65184,0.21633,1.3546,11.505999999999998,16.8492,78.49544,12.75,6.30105,17.6532
9-Feb-16,626.48072,430.81161,88.95593000000002,40.29317,26.49732,18.2156,29.05202,8.301680000000001,0.21292,1.3563,11.2884,15.3214,77.38249,13.115,6.01485,17.3679
10-Feb-16,626.08556,434.43795,89.45978000000002,40.28411,25.45086,17.8729,28.946890000000003,8.73938,0.21955,1.4471,11.3145,17.0238,78.77783000000002,13.675,6.29875,17.1074
11-Feb-16,626.15293,446.61133,90.33814,40.30017,26.67683,17.0913,26.75843,7.99529,0.21421,1.4373,11.3145,16.5873,77.09183,13.38,5.88287,18.7716
12-Feb-16,624.5726,448.03047,90.13093,40.82311,26.69028,18.135,28.70798,8.13389,0.22176,1.4668,11.3145,16.7269,78.71141999999998,13.01,6.13301,19.0361
15-Feb-16,629.69058,451.7018,90.86949,41.15763,26.908990000000006,18.2836,29.71142,8.46217,0.22858,1.5241,11.3145,17.8182,80.09013,13.425,6.41001,19.1921
16-Feb-16,642.23748,466.34793,90.93382,42.13233,27.77325,18.8697,29.8261,8.49135,0.22793,1.5503,11.3058,17.9317,79.15163000000003,13.245,6.4330300000000005,19.8419
17-Feb-16,656.65022,479.14106,94.37491,43.33397,30.26456,19.3222,32.92243,8.688310000000001,0.23125,1.5699,11.3406,18.5166,81.13658000000002,13.85,7.3277,20.3672
18-Feb-16,645.06995,471.99581,93.02363,43.23711,29.98657,19.1482,33.12312,8.62995,0.23024,1.5503,11.3145,18.3333,82.19138000000002,14.295,7.15122,20.3881
19-Feb-16,649.90607,481.41527,94.11403,42.97691,29.98473,19.2008,32.836420000000004,8.54241,0.23199,1.5036,11.3145,18.4642,81.41898,14.165,7.05991,20.5028
22-Feb-16,655.3865099999998,502.96792,96.33252,43.61433,31.95622,19.6099,34.375029999999995,8.8488,0.23438,1.5601,11.5669,18.5166,82.19973,13.9,7.18498,20.5406
23-Feb-16,650.4244,501.39508,95.62905,42.76544000000001,32.13811,19.1115,33.68695,8.841510000000003,0.23162,1.5257,12.124,18.2023,80.72961,13.86,7.05607,20.3224
24-Feb-16,653.7554200000002,502.43671,96.9252,42.91962,32.46559,19.1132,32.88421,8.73938,0.22775,1.4733,12.124,17.3992,78.72804000000002,13.82,6.84583,20.4799
25-Feb-16,661.99743,504.04308,98.12111,43.58988,34.03505,19.8785,33.25691,8.92175,0.23162,1.4643,11.741,17.5476,79.24295,14.0,6.9732,20.7224
26-Feb-16,657.46997,503.61042,97.88671,42.87752,34.52883,20.2859,33.72518,9.31568,0.23484,1.4979,12.0978,17.4603,81.25288,14.025,7.234089999999999,20.5537
29-Feb-16,656.55735,505.78775999999993,97.87668,42.91983,35.139309999999995,20.0992,34.01188,9.34486,0.2365,1.61,11.7845,17.6261,80.09013,14.285,7.35532,20.5632
1-Mar-16,681.57898,531.7669599999998,100.8543,44.49631,34.22726,21.2985,34.32724,9.41781,0.23935,1.6084,12.0021,17.8269,81.45222,14.205,7.42667,21.1414
2-Mar-16,679.9222,533.47985,101.0946,44.86311,34.63421,21.3403,34.49926,9.56371,0.24037,1.6779,11.7932,18.1063,82.09179,14.225,7.62617,21.222
3-Mar-16,673.09968,531.31989,100.8191,44.38323,36.01813,21.3786,34.32724,9.55641,0.23806,1.6714,12.124,18.1587,81.07852,13.855,7.65534,21.2119
4-Mar-16,666.93151,525.2923900000002,98.99579,43.78969,36.72316,21.2143,34.4037,9.46158,0.23806,1.6812,11.9934,18.246,81.80104,14.135,7.72669,21.0021
7-Mar-16,648.356,511.91744000000006,96.17099,42.77224,37.34596,21.0951,35.05355,9.2938,0.23687,1.7156,11.9934,18.2896,81.6017,14.1,7.5671,21.1815
8-Mar-16,647.72093,508.58706,96.16004,43.20526,36.78283,20.1814,36.11433,9.38863,0.23401,1.6369999999999998,11.9934,18.4119,81.06188,13.665,7.522589999999999,21.069000000000006
9-Mar-16,659.22329,508.42372,97.70075,44.2489,37.93526,19.8803,36.41058,9.46888,0.23401,1.655,11.9673,18.246,81.72635,13.46,7.6116,21.5286
10-Mar-16,666.2747400000002,508.62634,97.66121,43.64684000000001,37.34276,19.9398,35.17778,9.45429,0.23162,1.6288,12.0543,18.6388,79.35925,13.4,7.59932,21.3784
11-Mar-16,666.3458099999998,509.5617,97.876,43.74806,37.12507,20.6754,36.2099,10.14,0.23392,1.5552,12.0978,18.5079,81.36091,13.72,8.18706,21.3846
14-Mar-16,671.7801,513.40712,98.39773,43.87167,38.52993,20.6232,36.47748,10.0525,0.23641,1.5838,12.1849,19.2849,83.26281,13.7,8.13336,21.2818
15-Mar-16,676.0686,519.74514,99.68492,44.48093,39.33352,20.3614,35.71295999999999,9.99411,0.23576,1.5544,12.1849,19.3634,83.05519,13.455,7.926189999999999,21.3773
16-Mar-16,681.7529099999998,516.94077,100.9811,45.0832,39.95496,20.1325,36.01876,10.1035,0.23484,1.5552,12.1849,18.9007,82.85584,13.68,7.8532899999999985,21.5337
17-Mar-16,676.07098,498.65674,98.95765,44.89607,40.35675,20.4819,36.23857,10.1254,0.2307,1.5445,12.124,18.988,82.12495,13.23,7.8111,21.5598
18-Mar-16,667.4424,487.79024,98.47163,43.55061,41.12748,20.6404,36.12389,9.95764,0.23061,1.5298,12.4286,19.2063,82.44060999999998,13.6,7.8226,21.4772
21-Mar-16,675.7312400000002,491.1588,99.16624,44.00325,42.25892,20.4437,35.91364,9.84092,0.23116,1.5584,12.4373,19.2063,85.13179000000002,13.695,7.75738,21.4449
22-Mar-16,676.44479,498.82741,99.90254,44.34423,41.69474,20.443,35.64605,9.7169,0.23208,1.5715,12.4373,19.2849,86.12853,13.395,7.72669,21.5959
